Title,Genre,Duration,Rating,Voting
Inheritance to Love,Romance,1h 28m,9.1,33
Emakku Thozhil Romance,Romance,1h 51m,4.8,132
Visal Adare,Romance,2h,6.1,153
Dinda,Romance,1h 34m,6.7,45
Neath's Love Story,Romance,1h 46m,7.7,53
Noche De Bodas,Romance,1h 30m,4.5,244
N/A,Romance,N/A,N/A,N/A
Mafia Temptation,Romance,1h 22m,8.4,8
Vidya Vasula Aham,Romance,1h 42m,6.5,93
14 Days Love,Romance,1h 52m,6.4,12
N/A,Romance,N/A,N/A,N/A
On the Market,Romance,1h 35m,5.7,11
The Mercedes Story: A Troubled Soul,Romance,2h 8m,7.6,21
Kajolrekha,Romance,2h 36m,6.3,198
"Till Then, Hanna!",Romance,1h 50m,6.2,317
The Gift That Gives,Romance,1h 21m,5.7,76
The Choice,Romance,40m,9.5,8
Choices,Romance,1h 27m,5.1,9
N/A,Romance,N/A,N/A,N/A
Yo no soy esa,Romance,1h 35m,4.9,295
Gili Gili Raat,Romance,1h 33m,5.7,12
Hani,Romance,1h 13m,7.7,7
N/A,Romance,N/A,N/A,N/A
Khwaabon Ka Jhamela,Romance,1h 53m,5.4,113
Who Wants to Marry an Astronaut?,Romance,1h 34m,6.9,19
Nikdo me nemá rád,Romance,1h 24m,5.6,47
Amo-te Imenso,Romance,1h 27m,5.8,92
Rokjesnacht,Romance,1h 35m,4.8,243
N/A,Romance,N/A,N/A,N/A
¿Vienes o Voy?,Romance,1h 34m,6.7,19
How to Make Love,Romance,1h 5m,2.8,12
Skinny Love,Romance,1h 32m,5.6,136
Looking for Dr. Love,Romance,1h 25m,6.0,136
Usha Parinayam,Romance,2h 24m,9.0,2.1K
Traces of Love,Romance,1h 45m,6.5,926
I Love You 2,Romance,2h 40m,8.2,176
N/A,Romance,N/A,N/A,N/A
Ondu Sarala Prema Kathe,Romance,2h 29m,7.5,724
Ciao bambino,Romance,1h 40m,6.7,93
Oru Kattil Oru Muri,Romance,2h 5m,4.6,64
N/A,Romance,N/A,N/A,N/A
Jee Ve Sohneya Jee,Romance,2h 21m,6.6,263
The Sweet Life,Romance,1h 41m,5.4,69
Three Secrets,Romance,1h 32m,4.1,53
Kanni,Romance,2h 2m,8.3,154
Apaixonada,Romance,1h 35m,4.2,146
N/A,Romance,N/A,N/A,N/A
Land of Broken Hearts,Romance,1h 40m,6.3,218
Daghabaaz Dil,Romance,2h 3m,6.6,73
Ienai Himitsu,Romance,1h 55m,6.7,81
Gecenin Nakarati,Romance,1h 44m,6.9,30
N/A,Romance,N/A,N/A,N/A
Mendung tanpo udan,Romance,1h 41m,6.4,26
Video Vision,Romance,1h 18m,5.8,20
Morena,Romance,1h 46m,5.4,130
Parahuna 2,Romance,1h 55m,6.6,86
Petta Rap,Romance,2h 3m,4.0,1.7K
On+Ona,Romance,1h 33m,7.4,15
Lyubov Sovetskogo Soyuza,Romance,2h 30m,5.1,298
A Soweto Love Story,Romance,1h 41m,4.4,288
N/A,Romance,N/A,N/A,N/A
Hope's Hollywood Christmas,Romance,1h 30m,8.4,33
Maru Mann Taru Thayu,Romance,2h 33m,7.5,23
Hidden Flora,Romance,1h 33m,7.0,20
N/A,Romance,N/A,N/A,N/A
Assisting Venus,Romance,1h 40m,6.2,27
Elle & lui & le reste du monde,Romance,1h 25m,5.8,114
N/A,Romance,N/A,N/A,N/A
Mi Perfecto Ex,Romance,1h 23m,7.6,19
A Thousand Faces,Romance,1h 25m,8.7,139
8 Views of Lake Biwa,Romance,2h 6m,5.2,134
Babli,Romance,2h 14m,6.8,571
Yolki 11,Romance,1h 32m,4.7,185
Atashi no!,Romance,1h 42m,7.4,6
N/A,Romance,N/A,N/A,N/A
